leftWins	rightWins	leftPlayerName	rightPlayerName	draws	tourneyName
1	3	Doug le Fake	Ellen le Fake	0	long tourney example, 400 bouts
0	2	Fran le Fake	Ellen le Fake	0	long tourney example, 400 bouts
2	4	Grace le Fake	Ellen le Fake	0	long tourney example, 400 bouts
2	5	Hugh le Fake	Ellen le Fake	0	long tourney example, 400 bouts
0	1	Inez le Fake	Ellen le Fake	0	long tourney example, 400 bouts
3	4	John le Fake	Ellen le Fake	0	long tourney example, 400 bouts
0	8	Andy le Fake	Fran le Fake	0	long tourney example, 400 bouts
0	3	Bob le Fake	Fran le Fake	0	long tourney example, 400 bouts
2	3	Carl le Fake	Fran le Fake	0	long tourney example, 400 bouts
1	4	Doug le Fake	Fran le Fake	0	long tourney example, 400 bouts
1	0	Ellen le Fake	Fran le Fake	0	long tourney example, 400 bouts
1	1	Grace le Fake	Fran le Fake	0	long tourney example, 400 bouts
3	3	Hugh le Fake	Fran le Fake	0	long tourney example, 400 bouts
3	1	Inez le Fake	Fran le Fake	0	long tourney example, 400 bouts
1	1	John le Fake	Fran le Fake	0	long tourney example, 400 bouts
0	1	Andy le Fake	Grace le Fake	0	long tourney example, 400 bouts
1	5	Bob le Fake	Grace le Fake	0	long tourney example, 400 bouts
1	2	Carl le Fake	Grace le Fake	0	long tourney example, 400 bouts
2	2	Doug le Fake	Grace le Fake	0	long tourney example, 400 bouts
0	3	Ellen le Fake	Grace le Fake	0	long tourney example, 400 bouts
1	5	Fran le Fake	Grace le Fake	0	long tourney example, 400 bouts
2	1	Hugh le Fake	Grace le Fake	0	long tourney example, 400 bouts
1	0	Inez le Fake	Grace le Fake	0	long tourney example, 400 bouts
3	0	John le Fake	Grace le Fake	0	long tourney example, 400 bouts
0	3	Andy le Fake	Hugh le Fake	0	long tourney example, 400 bouts
0	1	Bob le Fake	Hugh le Fake	0	long tourney example, 400 bouts
4	3	Carl le Fake	Hugh le Fake	0	long tourney example, 400 bouts
2	7	Doug le Fake	Hugh le Fake	0	long tourney example, 400 bouts
3	3	Ellen le Fake	Hugh le Fake	0	long tourney example, 400 bouts
1	6	Fran le Fake	Hugh le Fake	0	long tourney example, 400 bouts
2	3	Grace le Fake	Hugh le Fake	0	long tourney example, 400 bouts
2	3	Inez le Fake	Hugh le Fake	0	long tourney example, 400 bouts
6	3	John le Fake	Hugh le Fake	0	long tourney example, 400 bouts
2	3	Andy le Fake	Inez le Fake	0	long tourney example, 400 bouts
0	3	Bob le Fake	Inez le Fake	0	long tourney example, 400 bouts
1	3	Carl le Fake	Inez le Fake	0	long tourney example, 400 bouts
0	2	Doug le Fake	Inez le Fake	0	long tourney example, 400 bouts
2	3	Ellen le Fake	Inez le Fake	0	long tourney example, 400 bouts
8	3	Fran le Fake	Inez le Fake	0	long tourney example, 400 bouts
0	5	Grace le Fake	Inez le Fake	0	long tourney example, 400 bouts
2	4	Hugh le Fake	Inez le Fake	0	long tourney example, 400 bouts
1	3	John le Fake	Inez le Fake	0	long tourney example, 400 bouts
0	5	Andy le Fake	John le Fake	0	long tourney example, 400 bouts
0	3	Bob le Fake	John le Fake	0	long tourney example, 400 bouts
1	1	Carl le Fake	John le Fake	0	long tourney example, 400 bouts
2	3	Doug le Fake	John le Fake	0	long tourney example, 400 bouts
1	5	Ellen le Fake	John le Fake	0	long tourney example, 400 bouts
1	2	Fran le Fake	John le Fake	0	long tourney example, 400 bouts
1	2	Grace le Fake	John le Fake	0	long tourney example, 400 bouts
3	3	Hugh le Fake	John le Fake	0	long tourney example, 400 bouts
5	2	Inez le Fake	John le Fake	0	long tourney example, 400 bouts
5	3	Bob le Fake	Andy le Fake	0	long tourney example, 400 bouts
4	2	Carl le Fake	Andy le Fake	0	long tourney example, 400 bouts
7	0	Doug le Fake	Andy le Fake	0	long tourney example, 400 bouts
2	0	Ellen le Fake	Andy le Fake	0	long tourney example, 400 bouts
2	1	Fran le Fake	Andy le Fake	0	long tourney example, 400 bouts
7	0	Grace le Fake	Andy le Fake	0	long tourney example, 400 bouts
2	0	Hugh le Fake	Andy le Fake	0	long tourney example, 400 bouts
1	0	Inez le Fake	Andy le Fake	0	long tourney example, 400 bouts
8	0	John le Fake	Andy le Fake	0	long tourney example, 400 bouts
