leftWins	rightWins	leftPlayerName	rightPlayerName	draws	tourneyName
21	22	Ellen le Fake	Fran le Fake	0	long tourney example, 4000 bouts
24	17	Grace le Fake	Fran le Fake	0	long tourney example, 4000 bouts
22	18	Hugh le Fake	Fran le Fake	0	long tourney example, 4000 bouts
41	14	Inez le Fake	Fran le Fake	0	long tourney example, 4000 bouts
19	13	John le Fake	Fran le Fake	0	long tourney example, 4000 bouts
8	36	Andy le Fake	Grace le Fake	0	long tourney example, 4000 bouts
5	39	Bob le Fake	Grace le Fake	0	long tourney example, 4000 bouts
18	21	Carl le Fake	Grace le Fake	0	long tourney example, 4000 bouts
19	19	Doug le Fake	Grace le Fake	0	long tourney example, 4000 bouts
16	23	Ellen le Fake	Grace le Fake	0	long tourney example, 4000 bouts
13	13	Fran le Fake	Grace le Fake	0	long tourney example, 4000 bouts
24	20	Hugh le Fake	Grace le Fake	0	long tourney example, 4000 bouts
37	19	Inez le Fake	Grace le Fake	0	long tourney example, 4000 bouts
21	17	John le Fake	Grace le Fake	0	long tourney example, 4000 bouts
3	49	Andy le Fake	Hugh le Fake	0	long tourney example, 4000 bouts
7	37	Bob le Fake	Hugh le Fake	0	long tourney example, 4000 bouts
19	31	Carl le Fake	Hugh le Fake	0	long tourney example, 4000 bouts
16	25	Doug le Fake	Hugh le Fake	0	long tourney example, 4000 bouts
7	36	Ellen le Fake	Hugh le Fake	0	long tourney example, 4000 bouts
20	23	Fran le Fake	Hugh le Fake	0	long tourney example, 4000 bouts
16	25	Grace le Fake	Hugh le Fake	0	long tourney example, 4000 bouts
22	22	Inez le Fake	Hugh le Fake	0	long tourney example, 4000 bouts
25	14	John le Fake	Hugh le Fake	0	long tourney example, 4000 bouts
7	42	Andy le Fake	Inez le Fake	0	long tourney example, 4000 bouts
9	26	Bob le Fake	Inez le Fake	0	long tourney example, 4000 bouts
3	23	Carl le Fake	Inez le Fake	0	long tourney example, 4000 bouts
16	28	Doug le Fake	Inez le Fake	0	long tourney example, 4000 bouts
19	33	Ellen le Fake	Inez le Fake	0	long tourney example, 4000 bouts
15	23	Fran le Fake	Inez le Fake	0	long tourney example, 4000 bouts
18	21	Grace le Fake	Inez le Fake	0	long tourney example, 4000 bouts
19	21	Hugh le Fake	Inez le Fake	0	long tourney example, 4000 bouts
21	22	John le Fake	Inez le Fake	0	long tourney example, 4000 bouts
7	45	Andy le Fake	John le Fake	0	long tourney example, 4000 bouts
7	36	Bob le Fake	John le Fake	0	long tourney example, 4000 bouts
9	35	Carl le Fake	John le Fake	0	long tourney example, 4000 bouts
14	26	Doug le Fake	John le Fake	0	long tourney example, 4000 bouts
17	31	Ellen le Fake	John le Fake	0	long tourney example, 4000 bouts
22	24	Fran le Fake	John le Fake	0	long tourney example, 4000 bouts
14	28	Grace le Fake	John le Fake	0	long tourney example, 4000 bouts
18	32	Hugh le Fake	John le Fake	0	long tourney example, 4000 bouts
25	21	Inez le Fake	John le Fake	0	long tourney example, 4000 bouts
29	15	Bob le Fake	Andy le Fake	0	long tourney example, 4000 bouts
36	9	Carl le Fake	Andy le Fake	0	long tourney example, 4000 bouts
45	13	Doug le Fake	Andy le Fake	0	long tourney example, 4000 bouts
40	2	Ellen le Fake	Andy le Fake	0	long tourney example, 4000 bouts
38	6	Fran le Fake	Andy le Fake	0	long tourney example, 4000 bouts
36	3	Grace le Fake	Andy le Fake	0	long tourney example, 4000 bouts
28	7	Hugh le Fake	Andy le Fake	0	long tourney example, 4000 bouts
44	6	Inez le Fake	Andy le Fake	0	long tourney example, 4000 bouts
49	3	John le Fake	Andy le Fake	0	long tourney example, 4000 bouts
